id,transgenic-line,product-id,structure-id,structure-abbrev,structure-name,name,injection-volume,injection-structures,gender,strain,sum,structure-color,num-voxels,injection-coordinates,selected,experiment_page_url
157954927,Gng7-Cre_KH71,5,1002,AUDp,Primary auditory area,Gng7-Cre-967,0.33842708479999994,"[{""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1011, ""abbreviation""=>""AUDd"", ""name""=>""Dorsal auditory area"", ""color""=>""019399""}]",M,C57BL/6J,2.0597806208000002,019399,,"[7620, 3120, 9760]",false,https://connectivity.brain-map.org/projection/experiment/157954927
566730846,Cux2-IRES-Cre,35,1027,AUDpo,Posterior auditory area,Cux2-IRES-Cre-287715,0.16547260800000002,"[{""id""=>402, ""abbreviation""=>""VISal"", ""name""=>""Anterolateral visual area"", ""color""=>""08858C""}, {""id""=>541, ""abbreviation""=>""TEa"", ""name""=>""Temporal association areas"", ""color""=>""15B0B3""}, {""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1027, ""abbreviation""=>""AUDpo"", ""name""=>""Posterior auditory area"", ""color""=>""019399""}]",M,"",1.7865812286000002,019399,,"[8530, 2160, 1590]",false,https://connectivity.brain-map.org/projection/experiment/566730846
184159706,Cux2-IRES-Cre,5,1002,AUDp,Primary auditory area,Cux2-IRES-Cre-203,0.2381089536,"[{""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1011, ""abbreviation""=>""AUDd"", ""name""=>""Dorsal auditory area"", ""color""=>""019399""}]",F,C57BL/6J,1.5979699680000001,019399,,"[7650, 3130, 9870]",false,https://connectivity.brain-map.org/projection/experiment/184159706
116903230,"",5,1002,AUDp,Primary auditory area,378-1191,0.0983124044,"[{""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1011, ""abbreviation""=>""AUDd"", ""name""=>""Dorsal auditory area"", ""color""=>""019399""}, {""id""=>1018, ""abbreviation""=>""AUDv"", ""name""=>""Ventral auditory area"", ""color""=>""019399""}, {""id""=>1027, ""abbreviation""=>""AUDpo"", ""name""=>""Posterior auditory area"", ""color""=>""019399""}]",M,C57BL/6J,1.4910702744,019399,,"[8170, 3200, 10390]",false,https://connectivity.brain-map.org/projection/experiment/116903230
569994739,Cux2-IRES-Cre,35,1002,AUDp,Primary auditory area,Cux2-IRES-Cre-292890,0.11299296119999999,"[{""id""=>541, ""abbreviation""=>""TEa"", ""name""=>""Temporal association areas"", ""color""=>""15B0B3""}, {""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1018, ""abbreviation""=>""AUDv"", ""name""=>""Ventral auditory area"", ""color""=>""019399""}, {""id""=>1027, ""abbreviation""=>""AUDpo"", ""name""=>""Posterior auditory area"", ""color""=>""019399""}]",M,unknown,1.0142227612999999,019399,,"[8560, 2790, 1570]",false,https://connectivity.brain-map.org/projection/experiment/569994739
287223629,Rorb-IRES2-Cre,5,1002,AUDp,Primary auditory area,Rorb-IRES2-Cre-D-687,0.0816380278,"[{""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1011, ""abbreviation""=>""AUDd"", ""name""=>""Dorsal auditory area"", ""color""=>""019399""}]",F,"",1.0067124088,019399,,"[7640, 2410, 10100]",false,https://connectivity.brain-map.org/projection/experiment/287223629
592513871,Npr3-IRES2-Cre,5,1011,AUDd,Dorsal auditory area,Npr3-IRES2-Cre-313838,0.07153608980000001,"[{""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1011, ""abbreviation""=>""AUDd"", ""name""=>""Dorsal auditory area"", ""color""=>""019399""}]",F,"",0.8906404297,019399,,"[7740, 2630, 9890]",false,https://connectivity.brain-map.org/projection/experiment/592513871
156493815,Etv1-CreERT2,5,1011,AUDd,Dorsal auditory area,Etv1-CreERT2-1176,0.2378995864,"[{""id""=>378, ""abbreviation""=>""SSs"", ""name""=>""Supplemental somatosensory area"", ""color""=>""188064""}, {""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1011, ""abbreviation""=>""AUDd"", ""name""=>""Dorsal auditory area"", ""color""=>""019399""}]",F,C57BL/6J,0.846749498,019399,,"[7570, 2400, 10240]",false,https://connectivity.brain-map.org/projection/experiment/156493815
642809043,Rbp4-Cre_KL100,36,1027,AUDpo,Posterior auditory area,Rbp4-Cre_KL100-345688,0.0730580984,"[{""id""=>382, ""abbreviation""=>""CA1"", ""name""=>""Field CA1"", ""color""=>""7ED04B""}, {""id""=>541, ""abbreviation""=>""TEa"", ""name""=>""Temporal association areas"", ""color""=>""15B0B3""}, {""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1027, ""abbreviation""=>""AUDpo"", ""name""=>""Posterior auditory area"", ""color""=>""019399""}, {""id""=>312782628, ""abbreviation""=>""VISpor"", ""name""=>""Postrhinal area"", ""color""=>""08858C""}]",F,"",0.8453031062,019399,,"[8340, 2290, 1810]",false,https://connectivity.brain-map.org/projection/experiment/642809043
181600380,Gpr26-Cre_KO250,5,1002,AUDp,Primary auditory area,Gpr26-Cre-40,0.0565299966,"[{""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1011, ""abbreviation""=>""AUDd"", ""name""=>""Dorsal auditory area"", ""color""=>""019399""}]",M,"",0.823319021,019399,,"[7660, 2870, 9780]",false,https://connectivity.brain-map.org/projection/experiment/181600380
114752488,Nr5a1-Cre,5,1011,AUDd,Dorsal auditory area,Nr5a1-Cre-144,0.01873352565,"[{""id""=>378, ""abbreviation""=>""SSs"", ""name""=>""Supplemental somatosensory area"", ""color""=>""188064""}, {""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1011, ""abbreviation""=>""AUDd"", ""name""=>""Dorsal auditory area"", ""color""=>""019399""}]",F,B6.FVB,0.7829456572,019399,,"[7640, 2270, 10010]",false,https://connectivity.brain-map.org/projection/experiment/114752488
298719484,Rasgrf2-T2A-dCre,5,1002,AUDp,Primary auditory area,Rasgrf2-2A-dCre-D-130403,0.3451186816,"[{""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1011, ""abbreviation""=>""AUDd"", ""name""=>""Dorsal auditory area"", ""color""=>""019399""}, {""id""=>1018, ""abbreviation""=>""AUDv"", ""name""=>""Ventral auditory area"", ""color""=>""019399""}]",F,"",0.7248433878,019399,,"[7490, 3040, 9830]",false,https://connectivity.brain-map.org/projection/experiment/298719484
572969377,Tlx3-Cre_PL56,36,1011,AUDd,Dorsal auditory area,Tlx3-Cre_PL56-295769,0.0453458299,"[{""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1011, ""abbreviation""=>""AUDd"", ""name""=>""Dorsal auditory area"", ""color""=>""019399""}, {""id""=>1027, ""abbreviation""=>""AUDpo"", ""name""=>""Posterior auditory area"", ""color""=>""019399""}]",M,unknown,0.6933746274,019399,,"[7840, 2110, 1660]",false,https://connectivity.brain-map.org/projection/experiment/572969377
180073473,"",5,1027,AUDpo,Posterior auditory area,378-1817,0.08830981880000001,"[{""id""=>541, ""abbreviation""=>""TEa"", ""name""=>""Temporal association areas"", ""color""=>""15B0B3""}, {""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1027, ""abbreviation""=>""AUDpo"", ""name""=>""Posterior auditory area"", ""color""=>""019399""}]",M,C57BL/6J,0.67568055835,019399,,"[8470, 2740, 9750]",false,https://connectivity.brain-map.org/projection/experiment/180073473
266963362,Ntsr1-Cre_GN220,5,1002,AUDp,Primary auditory area,Ntsr1-Cre_GN220-3735,0.09877575820000001,"[{""id""=>1002, ""abbreviation""=>""AUDp"", ""name""=>""Primary auditory area"", ""color""=>""019399""}, {""id""=>1011, ""abbreviation""=>""AUDd"", ""name""=>""Dorsal auditory area"", ""color""=>""019399""}]",M,C57BL/6J,0.6429921757,019399,,"[7670, 2820, 9520]",false,https://connectivity.brain-map.org/projection/experiment/266963362
